title,price,location,surface,rooms,baths,link
"Appartement 98 m² à Temara, Résidence Al Khaizourane",,"Appartements dans Temara, Autre secteur","appartement 98 m² à temara, résidence al khaizourane",2 chambres,2 sdbs,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_98_m%C2%B2_%C3%A0_Temara__R%C3%A9sidence_Al_Khaizourane_56492613.htm
Appartement à vendre 55 m² à Tanger,330000,"Appartements dans Tanger, Autre secteur",55 m²,2 chambres,1 sdb,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_55_m%C2%B2_%C3%A0_Tanger_57859943.htm
CMN-SI-1877 - Appartement à vendre à Bourgogne Est,1050000,"Appartements dans Casablanca, Bourgogne",76 m²,2 chambres,1 sdb,https://www.avito.ma/fr/bourgogne/appartements/CMN_SI_1877___Appartement_%C3%A0_vendre_%C3%A0_Bourgogne_Est_57328148.htm
Appartement à vendre 78 m² à Marrakech,1800000,"Appartements dans Marrakech, Agdal",118 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/agdal/appartements/Appartement_%C3%A0_vendre_78_m%C2%B2_%C3%A0_Marrakech_56438709.htm
Appartement à vendre 60 m² à Marrakech,1320000,"Appartements dans Marrakech, Guéliz",60 m²,2 chambres,1 sdb,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_vendre_60_m%C2%B2_%C3%A0_Marrakech_57658682.htm
Appart lux 188m2 de 3ch 3sb à Gueliz,3100000,"Appartements dans Marrakech, Guéliz",,2 chambres,3 sdbs,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appart_lux_188m2_de_3ch_3sb_%C3%A0_Gueliz_56902202.htm
Appartement à vendre 69 m² à Casablanca,440000,"Appartements dans Casablanca, Aïn Borja",69 m²,3 chambres,1 sdb,https://www.avito.ma/fr/a%C3%AFn_borja/appartements/Appartement_%C3%A0_vendre_69_m%C2%B2_%C3%A0_Casablanca_38635452.htm
Studio neuf 41 m2 à vendre à Roche Noires,640000,"Appartements dans Casablanca, Roches Noires",41 m²,1 chambre,1 sdb,https://www.avito.ma/fr/roches_noires/appartements/Studio_neuf_41_m2_%C3%A0_vendre_%C3%A0_Roche_Noires_55587139.htm
Appart 76m2 près Mc Do et Marjane allal fassi,980000,"Appartements dans Marrakech, Allal El Fassi",,2 chambres,1 sdb,https://www.avito.ma/fr/allal_el_fassi/appartements/Appart_76m2_pr%C3%A8s_Mc_Do_et_Marjane_allal_fassi_55820537.htm
Duplex RDC 74 m² en vente - piscine Rooftop,1708000,"Appartements dans Marrakech, Av Abdelkrim El Khattabi",74 m²,1 chambre,2 sdbs,https://www.avito.ma/fr/av_abdelkrim_el_khattabi/appartements/Duplex_RDC_74_m%C2%B2_en_vente___piscine_Rooftop_57606328.htm
Appart 78m2 avec terrasse en haut près Atacadao,750000,"Appartements dans Marrakech, Route de Fès",,2 chambres,1 sdb,https://www.avito.ma/fr/route_de_f%C3%A8s/appartements/Appart_78m2_avec_terrasse_en_haut_pr%C3%A8s_Atacadao_57427077.htm
Appart 101m² piscine près Semlalia Majorel Gueliz,2200000,"Appartements dans Marrakech, Semlalia",101 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/semlalia/appartements/Appart_101m%C2%B2_piscine_pr%C3%A8s_Semlalia_Majorel_Gueliz_57780457.htm
Appartement à vendre 60 m² centre ville souk mlilia,330000,"Appartements dans Oujda, Centre Ville",60 m²,2 chambres,1 sdb,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_60_m%C2%B2_centre_ville_souk_mlilia_56130464.htm
"Appartement rénové proche gare, plage et zoo",600000,"Appartements dans Casablanca, Ain Sebaa",67 m²,2 chambres,1 sdb,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_r%C3%A9nov%C3%A9_proche_gare__plage_et_zoo_57778622.htm
Appartement à vendre 65 m² à Bouznika Dahomey,650000,"Appartements dans Bouznika, Autre secteur",65 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_65_m%C2%B2_%C3%A0_Bouznika_Dahomey_53700784.htm
appartement à vendre,1200000,"Appartements dans Tanger, Aida",97 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/aida/appartements/appartement_%C3%A0_vendre_57758453.htm
des appartements au centre-ville ville,,"Appartements dans Kénitra, Maamora",84 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/maamora/appartements/des_appartements_au_centre_ville_ville_57261961.htm
Appartement 150 m2 Haut Standing Quartier Hôpitaux,1600000,"Appartements dans Casablanca, Californie",,3 chambres,2 sdbs,https://www.avito.ma/fr/californie/appartements/Appartement_150_m2_Haut_Standing_Quartier_H%C3%B4pitaux_56257640.htm
VENTE DIRECTE SUPERBES APPARTEMENTS,860000,"Appartements dans Casablanca, Hay Hassani",78 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/hay_hassani/appartements/VENTE_DIRECTE_SUPERBES_APPARTEMENTS_57279893.htm
Résidence Galia Boulevard Hassan II Mohammedia,1700000,"Appartements dans Mohammedia, Centre Ville",125 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/centre_ville/appartements/R%C3%A9sidence_Galia_Boulevard_Hassan_II_Mohammedia_55973170.htm
Appartement à vendre rue Royal Army,1500000,"Appartements dans Tétouan, Centre ville",150 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_rue_Royal_Army_55897749.htm
Appartement à vendre 60 m² à Agadir,36,"Appartements dans Agadir, Taddart Anza",60 m²,2 chambres,1 sdb,https://www.avito.ma/fr/taddart_anza/appartements/Appartement_%C3%A0_vendre_60_m%C2%B2_%C3%A0_Agadir_57870817.htm
Appartement à vendre 104m² Amanar à Agadir,1456000,"Appartements dans Agadir, Centre Ville",104 m²,3 chambres,1 sdb,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_104m%C2%B2_Amanar_%C3%A0_Agadir_56449553.htm
